,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
192,28126,28119,28118,28121,28137,28137,28155,28147,28148,28153,28153
193,28119,28118,28121,28137,28137,28155,28147,28148,28153,28153,28161
194,28118,28121,28137,28137,28155,28147,28148,28153,28153,28161,28180
195,28121,28137,28137,28155,28147,28148,28153,28153,28161,28180,28170
196,28137,28137,28155,28147,28148,28153,28153,28161,28180,28170,28170
197,28137,28155,28147,28148,28153,28153,28161,28180,28170,28170,28170
198,28155,28147,28148,28153,28153,28161,28180,28170,28170,28170,28173
199,28147,28148,28153,28153,28161,28180,28170,28170,28170,28173,28175
200,28148,28153,28153,28161,28180,28170,28170,28170,28173,28175,28149
201,28153,28153,28161,28180,28170,28170,28170,28173,28175,28149,28143
202,28153,28161,28180,28170,28170,28170,28173,28175,28149,28143,28140
203,28161,28180,28170,28170,28170,28173,28175,28149,28143,28140,28131
204,28180,28170,28170,28170,28173,28175,28149,28143,28140,28131,28135
205,28170,28170,28170,28173,28175,28149,28143,28140,28131,28135,28139
206,28170,28170,28173,28175,28149,28143,28140,28131,28135,28139,28134
207,28170,28173,28175,28149,28143,28140,28131,28135,28139,28134,28134
208,28173,28175,28149,28143,28140,28131,28135,28139,28134,28134,28134
209,28175,28149,28143,28140,28131,28135,28139,28134,28134,28134,28136
210,28149,28143,28140,28131,28135,28139,28134,28134,28134,28136,28146
211,28143,28140,28131,28135,28139,28134,28134,28134,28136,28146,28159
212,28140,28131,28135,28139,28134,28134,28134,28136,28146,28159,28158
213,28131,28135,28139,28134,28134,28134,28136,28146,28159,28158,28150
214,28135,28139,28134,28134,28134,28136,28146,28159,28158,28150,28138
215,28139,28134,28134,28134,28136,28146,28159,28158,28150,28138,28135
216,28134,28134,28134,28136,28146,28159,28158,28150,28138,28135,28137
217,28134,28134,28136,28146,28159,28158,28150,28138,28135,28137,28134
218,28134,28136,28146,28159,28158,28150,28138,28135,28137,28134,28137
219,28136,28146,28159,28158,28150,28138,28135,28137,28134,28137,28149
220,28146,28159,28158,28150,28138,28135,28137,28134,28137,28149,28127
221,28159,28158,28150,28138,28135,28137,28134,28137,28149,28127,28120
222,28158,28150,28138,28135,28137,28134,28137,28149,28127,28120,28119
223,28150,28138,28135,28137,28134,28137,28149,28127,28120,28119,28114
224,28138,28135,28137,28134,28137,28149,28127,28120,28119,28114,28110
225,28135,28137,28134,28137,28149,28127,28120,28119,28114,28110,28082
226,28137,28134,28137,28149,28127,28120,28119,28114,28110,28082,28099
227,28134,28137,28149,28127,28120,28119,28114,28110,28082,28099,28104
228,28137,28149,28127,28120,28119,28114,28110,28082,28099,28104,28098
229,28149,28127,28120,28119,28114,28110,28082,28099,28104,28098,28114
230,28127,28120,28119,28114,28110,28082,28099,28104,28098,28114,28124
231,28120,28119,28114,28110,28082,28099,28104,28098,28114,28124,28124
232,28119,28114,28110,28082,28099,28104,28098,28114,28124,28124,28105
233,28114,28110,28082,28099,28104,28098,28114,28124,28124,28105,28090
234,28110,28082,28099,28104,28098,28114,28124,28124,28105,28090,28079
235,28082,28099,28104,28098,28114,28124,28124,28105,28090,28079,28091
236,28099,28104,28098,28114,28124,28124,28105,28090,28079,28091,28103
237,28104,28098,28114,28124,28124,28105,28090,28079,28091,28103,28100
238,28098,28114,28124,28124,28105,28090,28079,28091,28103,28100,28090
239,28114,28124,28124,28105,28090,28079,28091,28103,28100,28090,28068
240,28124,28124,28105,28090,28079,28091,28103,28100,28090,28068,28066
241,28124,28105,28090,28079,28091,28103,28100,28090,28068,28066,28077
242,28105,28090,28079,28091,28103,28100,28090,28068,28066,28077,28057
243,28090,28079,28091,28103,28100,28090,28068,28066,28077,28057,28071
244,28079,28091,28103,28100,28090,28068,28066,28077,28057,28071,28073
245,28091,28103,28100,28090,28068,28066,28077,28057,28071,28073,28074
246,28103,28100,28090,28068,28066,28077,28057,28071,28073,28074,28075
247,28100,28090,28068,28066,28077,28057,28071,28073,28074,28075,28088
248,28090,28068,28066,28077,28057,28071,28073,28074,28075,28088,28079
249,28068,28066,28077,28057,28071,28073,28074,28075,28088,28079,28070
250,28066,28077,28057,28071,28073,28074,28075,28088,28079,28070,28061
251,28077,28057,28071,28073,28074,28075,28088,28079,28070,28061,28058
252,28057,28071,28073,28074,28075,28088,28079,28070,28061,28058,28059
253,28071,28073,28074,28075,28088,28079,28070,28061,28058,28059,28067
254,28073,28074,28075,28088,28079,28070,28061,28058,28059,28067,28069
255,28074,28075,28088,28079,28070,28061,28058,28059,28067,28069,28090
256,28075,28088,28079,28070,28061,28058,28059,28067,28069,28090,28088
257,28088,28079,28070,28061,28058,28059,28067,28069,28090,28088,28089
258,28079,28070,28061,28058,28059,28067,28069,28090,28088,28089,28092
259,28070,28061,28058,28059,28067,28069,28090,28088,28089,28092,28109
260,28061,28058,28059,28067,28069,28090,28088,28089,28092,28109,28116
261,28058,28059,28067,28069,28090,28088,28089,28092,28109,28116,28120
262,28059,28067,28069,28090,28088,28089,28092,28109,28116,28120,28113
263,28067,28069,28090,28088,28089,28092,28109,28116,28120,28113,28110
264,28069,28090,28088,28089,28092,28109,28116,28120,28113,28110,28113
265,28090,28088,28089,28092,28109,28116,28120,28113,28110,28113,28110
266,28088,28089,28092,28109,28116,28120,28113,28110,28113,28110,28090
267,28089,28092,28109,28116,28120,28113,28110,28113,28110,28090,28083
268,28092,28109,28116,28120,28113,28110,28113,28110,28090,28083,28073
269,28109,28116,28120,28113,28110,28113,28110,28090,28083,28073,28080
270,28116,28120,28113,28110,28113,28110,28090,28083,28073,28080,28081
271,28120,28113,28110,28113,28110,28090,28083,28073,28080,28081,28074
272,28113,28110,28113,28110,28090,28083,28073,28080,28081,28074,28082
273,28110,28113,28110,28090,28083,28073,28080,28081,28074,28082,28073
274,28113,28110,28090,28083,28073,28080,28081,28074,28082,28073,28051
275,28110,28090,28083,28073,28080,28081,28074,28082,28073,28051,28054
276,28090,28083,28073,28080,28081,28074,28082,28073,28051,28054,28067
277,28083,28073,28080,28081,28074,28082,28073,28051,28054,28067,28059
278,28073,28080,28081,28074,28082,28073,28051,28054,28067,28059,28044
279,28080,28081,28074,28082,28073,28051,28054,28067,28059,28044,28027
280,28081,28074,28082,28073,28051,28054,28067,28059,28044,28027,28041
281,28074,28082,28073,28051,28054,28067,28059,28044,28027,28041,28037
282,28082,28073,28051,28054,28067,28059,28044,28027,28041,28037,28026
283,28073,28051,28054,28067,28059,28044,28027,28041,28037,28026,28011
284,28051,28054,28067,28059,28044,28027,28041,28037,28026,28011,28002
285,28054,28067,28059,28044,28027,28041,28037,28026,28011,28002,27997
286,28067,28059,28044,28027,28041,28037,28026,28011,28002,27997,27999
287,28059,28044,28027,28041,28037,28026,28011,28002,27997,27999,27999
288,28044,28027,28041,28037,28026,28011,28002,27997,27999,27999,27985
289,28027,28041,28037,28026,28011,28002,27997,27999,27999,27985,27983
290,28041,28037,28026,28011,28002,27997,27999,27999,27985,27983,28011
291,28037,28026,28011,28002,27997,27999,27999,27985,27983,28011,28003
292,28026,28011,28002,27997,27999,27999,27985,27983,28011,28003,27997
293,28011,28002,27997,27999,27999,27985,27983,28011,28003,27997,27974
294,28002,27997,27999,27999,27985,27983,28011,28003,27997,27974,27957
295,27997,27999,27999,27985,27983,28011,28003,27997,27974,27957,27955
296,27999,27999,27985,27983,28011,28003,27997,27974,27957,27955,27937
297,27999,27985,27983,28011,28003,27997,27974,27957,27955,27937,27959
298,27985,27983,28011,28003,27997,27974,27957,27955,27937,27959,27965
299,27983,28011,28003,27997,27974,27957,27955,27937,27959,27965,27717
300,28011,28003,27997,27974,27957,27955,27937,27959,27965,27717,27654
301,28003,27997,27974,27957,27955,27937,27959,27965,27717,27654,27692
302,27997,27974,27957,27955,27937,27959,27965,27717,27654,27692,27591
303,27974,27957,27955,27937,27959,27965,27717,27654,27692,27591,27606
304,27957,27955,27937,27959,27965,27717,27654,27692,27591,27606,27607
