Local time,Open,High,Low,Close,Volume
03.04.2023 03:11:00.000 GMT+0330,28119,28126,28107,28126,0.0003
03.04.2023 03:12:00.000 GMT+0330,28126,28126,28117,28119,0.0001
03.04.2023 03:13:00.000 GMT+0330,28119,28127,28116,28118,0.0002
03.04.2023 03:14:00.000 GMT+0330,28118,28121,28118,28121,0
03.04.2023 03:15:00.000 GMT+0330,28122,28137,28122,28137,0.0001
03.04.2023 03:16:00.000 GMT+0330,28137,28137,28137,28137,0
03.04.2023 03:17:00.000 GMT+0330,28137,28155,28135,28155,0.0003
03.04.2023 03:18:00.000 GMT+0330,28155,28160,28147,28147,0.0002
03.04.2023 03:19:00.000 GMT+0330,28147,28148,28142,28148,0.0002
03.04.2023 03:20:00.000 GMT+0330,28152,28155,28148,28153,0
03.04.2023 03:21:00.000 GMT+0330,28153,28153,28153,28153,0
03.04.2023 03:22:00.000 GMT+0330,28155,28161,28153,28161,0.0003
03.04.2023 03:23:00.000 GMT+0330,28161,28180,28159,28180,0.0002
03.04.2023 03:24:00.000 GMT+0330,28180,28180,28165,28170,0.0001
03.04.2023 03:25:00.000 GMT+0330,28170,28170,28170,28170,0
03.04.2023 03:26:00.000 GMT+0330,28170,28170,28170,28170,0
03.04.2023 03:27:00.000 GMT+0330,28170,28173,28170,28173,0
03.04.2023 03:28:00.000 GMT+0330,28174,28177,28172,28175,0
03.04.2023 03:29:00.000 GMT+0330,28175,28175,28149,28149,0.0001
03.04.2023 03:30:00.000 GMT+0330,28149,28149,28143,28143,0
03.04.2023 03:31:00.000 GMT+0330,28143,28143,28140,28140,0
03.04.2023 03:32:00.000 GMT+0330,28140,28140,28131,28131,0
03.04.2023 03:33:00.000 GMT+0330,28133,28140,28131,28135,0
03.04.2023 03:34:00.000 GMT+0330,28136,28139,28135,28139,0
03.04.2023 03:35:00.000 GMT+0330,28139,28139,28131,28134,0
03.04.2023 03:36:00.000 GMT+0330,28134,28137,28131,28134,0
03.04.2023 03:37:00.000 GMT+0330,28134,28134,28134,28134,0
03.04.2023 03:38:00.000 GMT+0330,28136,28138,28133,28136,0
03.04.2023 03:39:00.000 GMT+0330,28136,28146,28136,28146,0
03.04.2023 03:40:00.000 GMT+0330,28147,28159,28146,28159,0
03.04.2023 03:41:00.000 GMT+0330,28159,28160,28152,28158,0
03.04.2023 03:42:00.000 GMT+0330,28158,28158,28146,28150,0
03.04.2023 03:43:00.000 GMT+0330,28150,28150,28138,28138,0
03.04.2023 03:44:00.000 GMT+0330,28140,28144,28132,28135,0
03.04.2023 03:45:00.000 GMT+0330,28135,28142,28135,28137,0
03.04.2023 03:46:00.000 GMT+0330,28137,28137,28134,28134,0
03.04.2023 03:47:00.000 GMT+0330,28135,28139,28134,28137,0
03.04.2023 03:48:00.000 GMT+0330,28137,28152,28137,28149,0
03.04.2023 03:49:00.000 GMT+0330,28149,28149,28124,28127,0
03.04.2023 03:50:00.000 GMT+0330,28127,28127,28116,28120,0
03.04.2023 03:51:00.000 GMT+0330,28120,28126,28119,28119,0
03.04.2023 03:52:00.000 GMT+0330,28119,28119,28114,28114,0
03.04.2023 03:53:00.000 GMT+0330,28114,28114,28110,28110,0
03.04.2023 03:54:00.000 GMT+0330,28110,28110,28077,28082,0
03.04.2023 03:55:00.000 GMT+0330,28084,28104,28084,28099,0
03.04.2023 03:56:00.000 GMT+0330,28102,28106,28098,28104,0
03.04.2023 03:57:00.000 GMT+0330,28104,28104,28098,28098,0
03.04.2023 03:58:00.000 GMT+0330,28099,28114,28097,28114,0
03.04.2023 03:59:00.000 GMT+0330,28115,28124,28115,28124,0
03.04.2023 04:00:00.000 GMT+0330,28124,28124,28113,28124,0
03.04.2023 04:01:00.000 GMT+0330,28124,28124,28105,28105,0
03.04.2023 04:02:00.000 GMT+0330,28105,28105,28089,28090,0
03.04.2023 04:03:00.000 GMT+0330,28094,28097,28078,28079,0
03.04.2023 04:04:00.000 GMT+0330,28080,28098,28077,28091,0
03.04.2023 04:05:00.000 GMT+0330,28093,28103,28093,28103,0
03.04.2023 04:06:00.000 GMT+0330,28103,28103,28095,28100,0
03.04.2023 04:07:00.000 GMT+0330,28100,28100,28086,28090,0
03.04.2023 04:08:00.000 GMT+0330,28090,28090,28068,28068,0
03.04.2023 04:09:00.000 GMT+0330,28068,28068,28048,28066,0
03.04.2023 04:10:00.000 GMT+0330,28066,28077,28065,28077,0
03.04.2023 04:11:00.000 GMT+0330,28077,28080,28055,28057,0
03.04.2023 04:12:00.000 GMT+0330,28053,28072,28052,28071,0
03.04.2023 04:13:00.000 GMT+0330,28074,28075,28069,28073,0
03.04.2023 04:14:00.000 GMT+0330,28073,28074,28071,28074,0
03.04.2023 04:15:00.000 GMT+0330,28074,28075,28057,28075,0
03.04.2023 04:16:00.000 GMT+0330,28077,28089,28075,28088,0
03.04.2023 04:17:00.000 GMT+0330,28088,28088,28075,28079,0
03.04.2023 04:18:00.000 GMT+0330,28079,28079,28070,28070,0
03.04.2023 04:19:00.000 GMT+0330,28070,28070,28054,28061,0
03.04.2023 04:20:00.000 GMT+0330,28061,28061,28055,28058,0
03.04.2023 04:21:00.000 GMT+0330,28059,28062,28055,28059,0
03.04.2023 04:22:00.000 GMT+0330,28060,28067,28059,28067,0
03.04.2023 04:23:00.000 GMT+0330,28069,28072,28061,28069,0
03.04.2023 04:24:00.000 GMT+0330,28069,28090,28069,28090,0
03.04.2023 04:25:00.000 GMT+0330,28090,28090,28084,28088,0
03.04.2023 04:26:00.000 GMT+0330,28085,28089,28085,28089,0
03.04.2023 04:28:00.000 GMT+0330,28089,28092,28089,28092,0
03.04.2023 04:30:00.000 GMT+0330,28092,28109,28092,28109,0
03.04.2023 04:31:00.000 GMT+0330,28109,28116,28096,28116,0
03.04.2023 04:32:00.000 GMT+0330,28115,28120,28110,28120,0
03.04.2023 04:33:00.000 GMT+0330,28120,28120,28106,28113,0
03.04.2023 04:34:00.000 GMT+0330,28113,28113,28099,28110,0
03.04.2023 04:35:00.000 GMT+0330,28110,28113,28098,28113,0
03.04.2023 04:36:00.000 GMT+0330,28113,28113,28102,28110,0
03.04.2023 04:37:00.000 GMT+0330,28110,28110,28084,28090,0
03.04.2023 04:38:00.000 GMT+0330,28090,28090,28081,28083,0
03.04.2023 04:39:00.000 GMT+0330,28083,28083,28069,28073,0
03.04.2023 04:40:00.000 GMT+0330,28073,28083,28069,28080,0
03.04.2023 04:42:00.000 GMT+0330,28080,28083,28080,28081,0
03.04.2023 04:44:00.000 GMT+0330,28081,28081,28071,28074,0
03.04.2023 04:45:00.000 GMT+0330,28074,28082,28074,28082,0
03.04.2023 04:46:00.000 GMT+0330,28082,28082,28065,28073,0
03.04.2023 04:47:00.000 GMT+0330,28073,28073,28051,28051,0
03.04.2023 04:48:00.000 GMT+0330,28049,28054,28049,28054,0
03.04.2023 04:49:00.000 GMT+0330,28055,28067,28053,28067,0
03.04.2023 04:50:00.000 GMT+0330,28067,28067,28053,28059,0
03.04.2023 04:51:00.000 GMT+0330,28059,28061,28044,28044,0
03.04.2023 04:52:00.000 GMT+0330,28045,28048,28018,28027,0
03.04.2023 04:53:00.000 GMT+0330,28027,28042,28026,28041,0
03.04.2023 04:54:00.000 GMT+0330,28041,28041,28037,28037,0
03.04.2023 04:55:00.000 GMT+0330,28037,28037,28025,28026,0
03.04.2023 04:56:00.000 GMT+0330,28026,28026,28007,28011,0
03.04.2023 04:57:00.000 GMT+0330,28013,28016,27999,28002,0
03.04.2023 04:58:00.000 GMT+0330,28002,28013,27994,27997,0
03.04.2023 04:59:00.000 GMT+0330,27997,28001,27996,27999,0
03.04.2023 05:00:00.000 GMT+0330,27999,27999,27999,27999,0
03.04.2023 05:01:00.000 GMT+0330,27999,27999,27980,27985,0
03.04.2023 05:02:00.000 GMT+0330,27985,27985,27967,27983,0
03.04.2023 05:03:00.000 GMT+0330,27984,28022,27983,28011,0
03.04.2023 05:04:00.000 GMT+0330,28008,28008,27996,28003,0
03.04.2023 05:05:00.000 GMT+0330,28003,28006,27997,27997,0
03.04.2023 05:06:00.000 GMT+0330,27997,27997,27967,27974,0
03.04.2023 05:07:00.000 GMT+0330,27974,27974,27953,27957,0
03.04.2023 05:08:00.000 GMT+0330,27957,27961,27947,27955,0
03.04.2023 05:09:00.000 GMT+0330,27955,27964,27937,27937,0
03.04.2023 05:10:00.000 GMT+0330,27937,27963,27937,27959,0
03.04.2023 05:11:00.000 GMT+0330,27959,27965,27957,27965,0
03.04.2023 05:12:00.000 GMT+0330,27965,27965,27696,27717,0
03.04.2023 05:13:00.000 GMT+0330,27720,27741,27595,27654,0
03.04.2023 05:14:00.000 GMT+0330,27654,27716,27633,27692,0
03.04.2023 05:15:00.000 GMT+0330,27693,27696,27578,27591,0
03.04.2023 05:16:00.000 GMT+0330,27591,27641,27560,27606,0
03.04.2023 05:17:00.000 GMT+0330,27607,27639,27584,27607,0
03.04.2023 05:18:00.000 GMT+0330,27607,27642,27595,27642,0
03.04.2023 05:19:00.000 GMT+0330,27640,27685,27640,27682,0
03.04.2023 05:20:00.000 GMT+0330,27683,27686,27656,27656,0
03.04.2023 05:21:00.000 GMT+0330,27656,27696,27653,27694,0
03.04.2023 05:22:00.000 GMT+0330,27692,27697,27663,27674,0
03.04.2023 05:23:00.000 GMT+0330,27674,27674,27632,27673,0
03.04.2023 05:24:00.000 GMT+0330,27673,27673,27637,27664,0
03.04.2023 05:25:00.000 GMT+0330,27667,27671,27639,27646,0
03.04.2023 05:26:00.000 GMT+0330,27646,27683,27646,27683,0
03.04.2023 05:27:00.000 GMT+0330,27686,27686,27646,27665,0
03.04.2023 05:28:00.000 GMT+0330,27667,27680,27661,27680,0
03.04.2023 05:29:00.000 GMT+0330,27680,27688,27668,27688,0
03.04.2023 05:30:00.000 GMT+0330,27688,27688,27649,27649,0
03.04.2023 05:31:00.000 GMT+0330,27650,27663,27640,27641,0
03.04.2023 05:32:00.000 GMT+0330,27641,27667,27641,27660,0
03.04.2023 05:33:00.000 GMT+0330,27660,27670,27659,27664,0
03.04.2023 05:34:00.000 GMT+0330,27664,27670,27659,27670,0
03.04.2023 05:35:00.000 GMT+0330,27670,27675,27648,27661,0
03.04.2023 05:36:00.000 GMT+0330,27661,27690,27653,27689,0
03.04.2023 05:37:00.000 GMT+0330,27693,27721,27680,27721,0
03.04.2023 05:38:00.000 GMT+0330,27721,27729,27719,27722,0
03.04.2023 05:39:00.000 GMT+0330,27722,27738,27721,27738,0
03.04.2023 05:40:00.000 GMT+0330,27738,27738,27726,27729,0
03.04.2023 05:41:00.000 GMT+0330,27729,27739,27712,27738,0
03.04.2023 05:42:00.000 GMT+0330,27738,27738,27727,27733,0
03.04.2023 05:43:00.000 GMT+0330,27734,27752,27725,27749,0
03.04.2023 05:44:00.000 GMT+0330,27749,27756,27742,27751,0
03.04.2023 05:45:00.000 GMT+0330,27751,27756,27727,27737,0
03.04.2023 05:46:00.000 GMT+0330,27739,27743,27737,27740,0
03.04.2023 05:47:00.000 GMT+0330,27742,27754,27742,27753,0
03.04.2023 05:48:00.000 GMT+0330,27753,27770,27752,27766,0
03.04.2023 05:49:00.000 GMT+0330,27766,27784,27764,27775,0
03.04.2023 05:50:00.000 GMT+0330,27775,27775,27742,27745,0
03.04.2023 05:51:00.000 GMT+0330,27745,27745,27740,27740,0
03.04.2023 05:52:00.000 GMT+0330,27740,27740,27729,27732,0
03.04.2023 05:53:00.000 GMT+0330,27732,27738,27732,27738,0
03.04.2023 05:54:00.000 GMT+0330,27738,27744,27738,27744,0
03.04.2023 05:55:00.000 GMT+0330,27744,27744,27739,27739,0
03.04.2023 05:56:00.000 GMT+0330,27739,27769,27739,27769,0
03.04.2023 05:57:00.000 GMT+0330,27771,27789,27764,27786,0
03.04.2023 05:58:00.000 GMT+0330,27788,27792,27776,27781,0
03.04.2023 05:59:00.000 GMT+0330,27781,27781,27756,27759,0
03.04.2023 06:00:00.000 GMT+0330,27759,27759,27719,27728,0
03.04.2023 06:01:00.000 GMT+0330,27728,27734,27718,27725,0
03.04.2023 06:02:00.000 GMT+0330,27725,27725,27700,27709,0
03.04.2023 06:03:00.000 GMT+0330,27710,27716,27709,27715,0
03.04.2023 06:04:00.000 GMT+0330,27715,27729,27714,27729,0
03.04.2023 06:05:00.000 GMT+0330,27729,27735,27712,27735,0
03.04.2023 06:06:00.000 GMT+0330,27735,27756,27727,27756,0
03.04.2023 06:07:00.000 GMT+0330,27759,27771,27759,27771,0
03.04.2023 06:08:00.000 GMT+0330,27773,27779,27765,27773,0
03.04.2023 06:09:00.000 GMT+0330,27775,27781,27767,27781,0
03.04.2023 06:10:00.000 GMT+0330,27781,27781,27768,27775,0
03.04.2023 06:11:00.000 GMT+0330,27775,27775,27765,27774,0
03.04.2023 06:12:00.000 GMT+0330,27775,27779,27771,27773,0
03.04.2023 06:13:00.000 GMT+0330,27774,27777,27769,27769,0
03.04.2023 06:14:00.000 GMT+0330,27769,27769,27752,27759,0
03.04.2023 06:15:00.000 GMT+0330,27759,27789,27756,27787,0
