,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
236,28245,28255,28259,28260,28260,28256,28255,28242,28266,28262,28262
237,28170,28174,28165,28189,28177,28168,28154,28075,28116,28113,28117
238,28133,28126,28128,28124,28121,28133,28144,28127,28150,28150,28158
239,28150,28158,28168,28155,28156,28165,28134,28122,28106,28080,28063
240,28103,28104,28121,28125,28131,28144,28163,28171,28176,28186,28190
241,28104,28121,28125,28131,28144,28163,28171,28176,28186,28190,28193
242,28131,28144,28163,28171,28176,28186,28190,28193,28204,28209,28231
243,28163,28171,28176,28186,28190,28193,28204,28209,28231,28182,28156
244,28176,28186,28190,28193,28204,28209,28231,28182,28156,28151,28140
245,28171,28173,28152,28133,28125,28140,28133,28106,28092,28093,28092
246,28133,28106,28092,28093,28092,28098,28079,28080,28104,28107,28086
247,28106,28092,28093,28092,28098,28079,28080,28104,28107,28086,28066
248,28066,28073,28056,28051,28027,28020,28045,28054,28065,28008,27979
249,28051,28027,28020,28045,28054,28065,28008,27979,27948,27944,27995
250,28020,28045,28054,28065,28008,27979,27948,27944,27995,27996,27982
251,27965,27950,27935,27959,27936,27965,27976,27987,27958,27955,27948
252,27936,27965,27976,27987,27958,27955,27948,27948,27989,28005,28005
253,27958,27955,27948,27948,27989,28005,28005,28009,27994,28005,28008
254,28022,28024,28034,28041,28043,28041,28021,28025,28016,28015,28012
255,28016,28015,28012,27999,28004,28000,28013,28001,27990,27979,27961
256,28004,28000,28013,28001,27990,27979,27961,27977,27966,27951,27944
257,28001,27990,27979,27961,27977,27966,27951,27944,27955,27968,27951
258,27955,27968,27951,27952,27952,27955,27969,27969,27979,27983,27990
259,27951,27952,27952,27955,27969,27969,27979,27983,27990,27987,27982
260,27969,27969,27979,27983,27990,27987,27982,27961,27977,27974,27986
261,27987,27982,27961,27977,27974,27986,28005,28013,28023,28022,28024
262,27961,27977,27974,27986,28005,28013,28023,28022,28024,28026,28036
263,28022,28024,28026,28036,28036,28029,28028,28016,28004,28016,27994
264,28024,28026,28036,28036,28029,28028,28016,28004,28016,27994,27992
265,28026,28036,28036,28029,28028,28016,28004,28016,27994,27992,27992
266,28004,28016,27994,27992,27992,28055,28064,28068,28074,28084,28081
267,27992,27992,28055,28064,28068,28074,28084,28081,28071,28066,28060
268,28084,28081,28071,28066,28060,28042,28052,28056,28042,28042,28039
269,28042,28052,28056,28042,28042,28039,28053,28054,28064,28069,28067
270,28042,28042,28039,28053,28054,28064,28069,28067,28061,28054,28064
271,28061,28054,28064,28071,28075,28086,28103,28098,28101,28086,28067
272,28097,28113,28108,28116,28152,28139,28130,28113,28115,28113,28113
273,28108,28116,28152,28139,28130,28113,28115,28113,28113,28152,28164
